line,page,page_row,kh_record_id,date,date_as_recorded,discharge_date,discharge_as_recorded,address_as_recorded,description_as_recorded,dog_name,species,sex,colour,life_stage,condition_as_recorded,opd,admission,medical_expense_recorded,payment_marked_done,media_label,animal_key,place_key,disposition,note
84,2,25,KH-RR-084,2025-12-18,18/12/25,,,,Barauni,,,,,,,,,yes,yes,,,,withheld,No place recorded on this line
85,2,26,KH-RR-085,2026-02-01,1/2/26,,,,Leg dog,,,,,,,,,yes,yes,,,,withheld,No place recorded on this line
86,2,27,KH-RR-086,2026-02-02,2/2/26,,,,Leg dog,,,,,,,,,yes,yes,,,,withheld,No place recorded on this line
87,2,28,KH-RR-087,2026-02-03,3/2/26,,,,Leg dog,,,,,,,,,yes,yes,,,,withheld,No place recorded on this line
88,2,29,KH-RR-088,2026-02-04,4/2/26,,,,leg dog,,,,,,,,,yes,yes,,,,withheld,No place recorded on this line
89,2,30,KH-RR-089,2026-02-05,5/2/26,,,,white dog,,,,,,,,,yes,yes,,,,withheld,No place recorded on this line
90,2,31,KH-RR-090,2026-02-06,6/2/26,,,,white dog,,,,,,,,,yes,,,,,withheld,No place recorded on this line
91,2,32,KH-RR-091,2026-02-07,7/2/26,,,,white dog,,,,,,,,,yes,,,,,withheld,No place recorded on this line
92,2,33,KH-RR-092,2026-03-16,16/3/26,,,,Brown,,,,,,,,,yes,yes,,,,withheld,No place recorded on this line
93,2,34,KH-RR-093,2026-03-29,29/3/26,,,,Brown puppy,,,,,,,,,yes,yes,,,,withheld,No place recorded on this line
94,2,35,KH-RR-094,2026-04-01,1/4/26,,,,puppy,,,,,,,,,yes,yes,,,,withheld,No place recorded on this line
95,2,36,KH-RR-095,2026-04-02,2/4/26,,,,Brown dog,,,,,,,,,yes,yes,,,,withheld,No place recorded on this line
96,2,37,KH-RR-096,2026-04-04,4/4/26,,,,pilot dog,,,,,,,,,yes,yes,,,,withheld,No place recorded on this line
97,2,38,KH-RR-097,2026-04-08,8/4/26,,,,Brown puppy,,,,,,,,,yes,yes,,,,withheld,No place recorded on this line
98,2,39,KH-RR-098,2026-04-09,9/4/26,,,,Bone fracture,,,,,,,,,yes,yes,,,,withheld,No place recorded on this line
99,2,40,KH-RR-099,2026-04-10,10/4/26,,,,Brown puppy,,,,,,,,,yes,yes,,,,withheld,No place recorded on this line
100,2,41,KH-RR-100,2026-04-14,14/4/26,,,,Stray puppy,,,,,,,,,yes,yes,,,,withheld,No place recorded on this line
